population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Toute la population,1,Décès,101,Canada,1,Homme,8,15-19 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.002109701226888601,0.0042671423532312635,0.001024015255484895
1,Toute la population,1,Décès,101,Canada,2,Femme,8,15-19 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.0019676452561419354,0.003993151657243345,0.0009209246016464599
1,Toute la population,1,Décès,101,Canada,1,Homme,9,20-24 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.0030017435632863705,0.00592688262570103,0.0014281557533322687
1,Toute la population,1,Décès,101,Canada,2,Femme,9,20-24 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.0037746096672900157,0.007876642908539748,0.0017826027763950443
1,Toute la population,1,Décès,101,Canada,1,Homme,10,25-29 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.004799069475733212,0.009825303931638057,0.0022212214484146446
1,Toute la population,1,Décès,101,Canada,2,Femme,10,25-29 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.004313864907584601,0.008766867343433736,0.0019549702565742895
1,Toute la population,1,Décès,101,Canada,1,Homme,11,30-34 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.007152230199247389,0.014454319034651199,0.0033818097844955197
1,Toute la population,1,Décès,101,Canada,2,Femme,11,30-34 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.006642868288018257,0.013984075695217462,0.0030703372599362256
1,Toute la population,1,Décès,101,Canada,1,Homme,12,35-39 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.010058919321838252,0.02039825092681761,0.0046291836643825015
1,Toute la population,1,Décès,101,Canada,2,Femme,12,35-39 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.008567844527636382,0.01759224988086129,0.003981576950595255
1,Toute la population,1,Décès,101,Canada,1,Homme,13,40-44 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.013852384988395042,0.02807217337692881,0.006428635163910376
1,Toute la population,1,Décès,101,Canada,2,Femme,13,40-44 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.013064158783569866,0.02677235327806376,0.006226158617481279
1,Toute la population,1,Décès,101,Canada,1,Homme,14,45-49 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.020509735633274583,0.03961929526352495,0.009801584562205277
1,Toute la population,1,Décès,101,Canada,2,Femme,14,45-49 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.02088337565632496,0.04181190711847551,0.009668559580366415
1,Toute la population,1,Décès,101,Canada,1,Homme,15,50-54 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.04260235450829406,0.08427180151559055,0.020748608856879985
1,Toute la population,1,Décès,101,Canada,2,Femme,15,50-54 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.04368331997296423,0.08673255619312348,0.02120898161654268
1,Toute la population,1,Décès,101,Canada,1,Homme,16,55-59 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.08503583246936743,0.16443520243674922,0.04102601512047685
1,Toute la population,1,Décès,101,Canada,2,Femme,16,55-59 ans,302,Maladies diarrhéiques,169,Tous les facteurs de risque,3,Taux,2023,0.07668367334336428,0.1529018207275007,0.0406791548194829
